,date,variation,Time,VADER score,favorites,weekday,date_backup
142,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.3182,3,4,2019-10-25 16:28:00
143,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.29600000000000004,4,4,2019-10-25 18:44:00
144,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,9,4,2019-10-25 18:12:00
145,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.743,2,4,2019-10-25 23:07:00
146,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.8225,5,4,2019-10-25 23:24:00
147,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0516,4,4,2019-10-25 20:13:00
148,2019-10-25 15:37:00,0.2913025384935395,15:37:00,-0.25,11,4,2019-10-25 15:37:00
149,2019-10-25 15:22:00,0.08312551953450509,15:22:00,0.5423,17,4,2019-10-25 15:22:00
150,2019-10-25 15:13:00,0.04159733777038355,15:13:00,0.8225,636,4,2019-10-25 15:13:00
151,2019-10-25 15:13:00,0.04159733777038355,15:13:00,0.8225,636,4,2019-10-25 15:13:00
152,2019-10-25 14:58:00,-0.37313432835821914,14:58:00,0.4767,11,4,2019-10-25 14:58:00
153,2019-10-25 14:55:00,-0.04151100041511313,14:55:00,-0.574,2,4,2019-10-25 14:55:00
154,2019-10-25 14:30:00,-0.2906976744185954,14:30:00,0.6369,9,4,2019-10-25 14:30:00
155,2019-10-25 14:17:00,-0.28939708939709874,14:17:00,0.743,2,4,2019-10-25 14:17:00
156,2019-10-25 13:25:00,-0.04168403501458329,13:25:00,0.4404,1,4,2019-10-25 13:25:00
157,2019-10-25 13:01:00,0.20894274968658522,13:01:00,0.4374,1,4,2019-10-25 13:01:00
158,2019-10-25 12:04:00,-0.9170487703209602,12:04:00,0.7184,393,4,2019-10-25 12:04:00
159,2019-10-25 12:04:00,-0.9170487703209602,12:04:00,0.7184,393,4,2019-10-25 12:04:00
160,2019-10-25 11:20:00,-0.16792611251050005,11:20:00,0.25,2,4,2019-10-25 11:20:00
161,2019-10-25 11:01:00,0.04206983592764857,11:01:00,0.6892,1,4,2019-10-25 11:01:00
162,2019-10-25 11:00:00,0.4208754208754186,11:00:00,0.4019,2,4,2019-10-25 11:00:00
163,2019-10-25 10:49:00,0.7582139848357201,10:49:00,0.4215,19,4,2019-10-25 10:49:00
164,2019-10-25 09:59:00,-3.227158424140825,09:59:00,0.6244,1,4,2019-10-25 09:59:00
165,2019-10-25 09:59:00,-3.227158424140825,09:59:00,-0.128,12,4,2019-10-25 09:59:00
166,2019-10-25 09:51:00,-3.5938152946092714,09:51:00,0.3182,17,4,2019-10-25 09:51:00
167,2019-10-25 09:50:00,-3.5535117056856222,09:50:00,-0.4088,1,4,2019-10-25 09:50:00
168,2019-10-25 09:40:00,-3.391959798994975,09:40:00,0.2263,1,4,2019-10-25 09:40:00
169,2019-10-25 09:40:00,-3.391959798994975,09:40:00,0.6369,11,4,2019-10-25 09:40:00
170,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.2411,1,4,2019-10-25 09:16:00
171,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,2,4,2019-10-25 08:41:00
172,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,1,4,2019-10-25 08:41:00
173,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.7783,1,4,2019-10-25 08:41:00
174,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.5267,7,4,2019-10-25 08:31:00
175,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,1,4,2019-10-25 08:02:00
176,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.3182,2,4,2019-10-25 08:01:00
177,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,2,4,2019-10-25 08:01:00
178,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,1,4,2019-10-25 08:00:00
179,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.1027,13,4,2019-10-25 07:58:00
180,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.9388,2,4,2019-10-25 07:47:00
181,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,2,4,2019-10-25 07:47:00
182,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.802,1,4,2019-10-25 07:33:00
183,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.128,2,4,2019-10-25 07:05:00
184,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,1,4,2019-10-25 06:59:00
185,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,1,4,2019-10-25 06:51:00
186,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.34,1,4,2019-10-25 06:37:00
187,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,4,4,2019-10-25 06:30:00
188,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.2714,2,4,2019-10-25 05:55:00
189,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.34,1,4,2019-10-25 05:07:00
190,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.6249,4,4,2019-10-25 05:07:00
191,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.4939,1,4,2019-10-25 05:04:00
192,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.3197,3,4,2019-10-25 04:47:00
193,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.6369,5,4,2019-10-25 04:32:00
194,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.0041,3,4,2019-10-25 04:11:00
195,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.327,1,4,2019-10-25 03:55:00
196,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.6908,8,4,2019-10-25 03:54:00
197,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,1,4,2019-10-25 03:52:00
198,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.6369,10,4,2019-10-25 03:37:00
199,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.3182,4,4,2019-10-25 02:55:00
