date,1. open,2. high,3. low,4. close,5. volume
2019-08-13 11:41:00,3.305,3.31,3.305,3.31,758.0
2019-08-13 11:42:00,3.31,3.315,3.305,3.3107,67113.0
2019-08-13 11:46:00,3.3122,3.3122,3.3122,3.3122,311.0
2019-08-13 11:49:00,3.311,3.311,3.311,3.311,2550.0
2019-08-13 11:50:00,3.31,3.315,3.31,3.31,318.0
2019-08-13 11:51:00,3.31,3.32,3.31,3.32,1330.0
2019-08-13 11:52:00,3.315,3.315,3.3,3.3,38080.0
2019-08-13 11:53:00,3.3,3.3,3.3,3.3,304.0
2019-08-13 11:56:00,3.3,3.31,3.3,3.305,84103.0
2019-08-13 11:58:00,3.3,3.3,3.3,3.3,600.0
2019-08-13 11:59:00,3.305,3.305,3.305,3.305,900.0
2019-08-13 12:00:00,3.305,3.305,3.305,3.305,100.0
2019-08-13 12:01:00,3.305,3.305,3.3,3.3,1100.0
2019-08-13 12:02:00,3.3,3.3,3.3,3.3,300.0
2019-08-13 12:03:00,3.3,3.3,3.3,3.3,32297.0
2019-08-13 12:05:00,3.3,3.3,3.3,3.3,400.0
2019-08-13 12:06:00,3.3,3.3,3.3,3.3,9950.0
2019-08-13 12:07:00,3.3,3.305,3.295,3.3,122787.0
2019-08-13 12:08:00,3.3,3.3,3.3,3.3,18186.0
2019-08-13 12:10:00,3.295,3.295,3.295,3.295,200.0
2019-08-13 12:11:00,3.295,3.305,3.295,3.3035,108180.0
2019-08-13 12:14:00,3.3,3.3,3.3,3.3,800.0
2019-08-13 12:15:00,3.3,3.3,3.3,3.3,400.0
2019-08-13 12:16:00,3.3,3.3,3.3,3.3,100.0
2019-08-13 12:17:00,3.3,3.3,3.3,3.3,4600.0
2019-08-13 12:18:00,3.305,3.305,3.305,3.305,100.0
2019-08-13 12:19:00,3.3,3.3,3.3,3.3,600.0
2019-08-13 12:21:00,3.3,3.3,3.3,3.3,3900.0
2019-08-13 12:22:00,3.3,3.3,3.3,3.3,1010.0
2019-08-13 12:23:00,3.3,3.3,3.3,3.3,1338.0
2019-08-13 12:24:00,3.305,3.305,3.3,3.3,400.0
2019-08-13 12:26:00,3.3,3.3,3.3,3.3,400.0
2019-08-13 12:27:00,3.3,3.3,3.3,3.3,100.0
2019-08-13 12:28:00,3.3,3.3,3.3,3.3,620.0
2019-08-13 12:29:00,3.305,3.305,3.305,3.305,100.0
2019-08-13 12:30:00,3.3,3.3,3.29,3.29,30907.0
2019-08-13 12:31:00,3.29,3.2901,3.28,3.2803,19738.0
2019-08-13 12:32:00,3.285,3.285,3.285,3.285,210.0
2019-08-13 12:33:00,3.285,3.285,3.285,3.285,2257.0
2019-08-13 12:34:00,3.28,3.28,3.28,3.28,100.0
2019-08-13 12:35:00,3.285,3.285,3.28,3.28,1820.0
2019-08-13 12:36:00,3.285,3.295,3.285,3.295,51836.0
2019-08-13 12:37:00,3.29,3.295,3.29,3.295,3057.0
