username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CimGOI;2018-03-08 04:55;13;67;"CIM @sureshpprabhu reviewing presentation on Long Term Agreements for Supply of Iron Ore to Japan and South Korea through MMTC Limited pic.twitter.com/FMrYcyPrzr";;@sureshpprabhu;;"971655753529548800";https://twitter.com/CimGOI/status/971655753529548800
sunchartist;2018-03-08 03:08;8;20;"China commodities Iron ore -2.31 Steel Rebar -2.71% Coke -2.30% Cooking Coal -2.62% Nickel -1.60%";;;;"971628789653385216";https://twitter.com/sunchartist/status/971628789653385216
TihoBrkan;2018-03-07 05:16;45;107;"Investors who use correlation or analogs to invest usually pay the price of it breaking down just as they need it the most. Treasuries are not Yen, and Yen is not Gold, and gold is not Gold Miners. Aussie Dollar is not Copper or Iron Ore . Analyse every asset by its own merits! pic.twitter.com/ygEPXjKJxB";;;;"971298585219424256";https://twitter.com/TihoBrkan/status/971298585219424256
nick_thyme;2018-03-06 23:46;8;20;"If steel is made from iron ore which we supply the world why can’t australia make steel cheaper than anybody else";;;;"971215384522080256";https://twitter.com/nick_thyme/status/971215384522080256
_toddlwalker;2018-03-06 23:04;5;12;"International education ranks as Australia’s number 3 export behind iron ore and coal. Testament to our high quality education system. @UniNewEngland @uniaus #education #Trade pic.twitter.com/KKpeSiFgPn";;@UniNewEngland @uniaus;#education #Trade;"971205025769730048";https://twitter.com/_toddlwalker/status/971205025769730048
bel_robinson_;2018-03-06 22:34;6;17;"Most people know that iron ore and coal are Australia's top 2 exports but do you know what our third largest export is? Hint: its renewable @uniaus . https:// twitter.com/dfat/status/97 1196266750365696 …";;@uniaus;;"971197416228601856";https://twitter.com/bel_robinson_/status/971197416228601856
GrantNoland;2018-03-05 08:50;11;15;"During the Latter part of the last century American Steel left the continental U.S. for places that wanted their air and water polluted. We no longer wanted our air and water polluted. Iron Ore ,Coal , are no longer needed although vast quantities still exist. It's over https:// twitter.com/realDonaldTrum p/status/970451373681790978 …";;;;"970627582839341056";https://twitter.com/GrantNoland/status/970627582839341056
RealTimeWWII;2018-03-04 20:26;100;248;"New York Times asks if war in Scandinavia will spread to Norway or Sweden. Both Britain & Germany secretly making plans to invade Norway, to fight for supply of Swedish iron ore . pic.twitter.com/340zh5EtPs";;;;"970440444210491393";https://twitter.com/RealTimeWWII/status/970440444210491393
bymarktwain;2018-03-03 17:20;7;33;"Everything has its limit - iron ore cannot be educated into gold. #MarkTwain";;;#MarkTwain;"970031074033184768";https://twitter.com/bymarktwain/status/970031074033184768
TimesofIslambad;2018-03-03 13:27;16;13;"Indian consortium backs out of $11 billion investment in Asia's largest Iron ore mines in Afghanistan https:// fb.me/Nx70srKT";;;;"969972468675903489";https://twitter.com/TimesofIslambad/status/969972468675903489
