,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
20,InfinitusCap,2019-08-21 17:19,0,0,Proud to say we have among most accurate #WTI #OIL #FUTURES #CL_F #CL $ CL_F $ CL analytics See links below #DayTrading $ BDO $ ES $ DVN #OPEC $ APA $ APC #Brent $ UCO $ SPX $ RIG $ USO #fintwit $ ES_F $ XOM $ VLO $ MRO $ COP $ SPY $ CHK $ CVE #CrudeOil #ES_F #ES $ OIL https:// twitter.com/InfinitusCap/s tatus/1164257295590727681 …,,,#WTI #OIL #FUTURES #CL_F #CL #DayTrading #OPEC #Brent #fintwit #CrudeOil #ES_F #ES,1164270791363649537,https://twitter.com/InfinitusCap/status/1164270791363649537
21,Forex24PRO,2019-08-21 17:09,0,0,"BRENT Crude Oil Forecast and analysis August 22, 2019 https:// goo.gl/fb/1GrJmm #brentoilforecast #commodities",,,#brentoilforecast #commodities,1164268188902854658,https://twitter.com/Forex24PRO/status/1164268188902854658
22,realsmallspec,2019-08-21 15:46,0,1,"Great close 4 bears in $ oil 2day. Downtrend line held. Exp plunge start o/n test $51 $ wti end of wk, low 40s in Sep, 30s in Dec/Jan. #crudeoil energy bulls r dead $ crc $ xle $ mro $ Brent $ uso #oott #cl_f $ bno $ xop $ oih #stocks #SPX #SPX500 $ spy $ spx $ iwm #fintwit #es_f #StockMarket https:// twitter.com/realsmallspec/ status/1164242408512471041 …",,,#crudeoil #oott #cl_f #stocks #SPX #SPX500 #fintwit #es_f #StockMarket,1164247543699529728,https://twitter.com/realsmallspec/status/1164247543699529728
23,NRT_English,2019-08-21 14:00,0,1,Crude oil prices (August 21) http://www. nrttv.com/En/News.aspx?i d=14600&MapID=5 … #NRTnews #Brent #WTI pic.twitter.com/GNPmwajRlF,,,#NRTnews #Brent #WTI,1164220622857211910,https://twitter.com/NRT_English/status/1164220622857211910
24,realsmallspec,2019-08-21 13:42,0,1,"Close 2 max lever short $ crc tgt $6 Sep, $2 Jan stop $16-18. Short $ work tgt $20 after ER stop $42. Wide stops 0 chance 2 hit in $ spx bear mkt #crudeoil $ oil $ crc $ Brent $ uso #oott #cl_f $ wti $ bno $ xop $ oih #SPX #SPX500 $ spy $ ndx $ qqq $ xlk #NASDAQ $ iwm #fintwit #es_f #StockMarket https:// twitter.com/realsmallspec/ status/1164213549368934400 …",,,#crudeoil #oott #cl_f #SPX #SPX500 #NASDAQ #fintwit #es_f #StockMarket,1164216158259572737,https://twitter.com/realsmallspec/status/1164216158259572737
25,forexoilfort,2019-08-21 12:23,0,0,Coal Transportation Rates to the Electric Power Sector https:// ift.tt/1WPcBCL | #oil #crudeoil #brentoil #forex #fx #trading #trade #livetradenews #brent #wti #crude,,,#oil #crudeoil #brentoil #forex #fx #trading #trade #livetradenews #brent #wti #crude,1164196231633092611,https://twitter.com/forexoilfort/status/1164196231633092611
26,macrohedged,2019-08-21 09:50,0,0,US Crude Oil front 12 months futures prices with the VWAP's as we go into the US RTH Session this Wednesday: https:// macrhed.com/CLpri #CL_F #CrudeOil #WTI $ USO #OOTT $ UCO $ DBO #Brent $ BNO $ XLE,,,#CL_F #CrudeOil #WTI #OOTT #Brent,1164157724168531970,https://twitter.com/macrohedged/status/1164157724168531970
27,InvestingTeam_,2019-08-21 09:36,0,0,"Crude Oil Prices Heads Higher, Canada Extends Oil Production Cuts - US Market Open: Brent crude futures are notably firmer this morning following broader risk sentiment and US oil inventory drop, while the South African Rand outperforms on lower inflation. #forexmarketnews …",,,#forexmarketnews,1164154329818943488,https://twitter.com/InvestingTeam_/status/1164154329818943488
28,DTradingAcademy,2019-08-21 09:31,0,0,"Crude oil futures move higher again for October, on Wednesday in early-morning trading, $ WTI _Crude (U.S.) +1.25% at $56.83, $ NBZ_F ( Brent ) +1.62% at $61.00, $ USO +1.38% at $11.79 on 08/21/2019.",,,,1164152974882607105,https://twitter.com/DTradingAcademy/status/1164152974882607105
29,ResearchPool,2019-08-21 06:26,0,0,"Sberbank - Commodities Daily - August 21, 2019: > Brent pushes above $60/bbl on API inventory draw; EIA report imminent. Today, we expect the EIA to show a 2-3 mln bbl crude oil stock draw (with the risks skewed toward an even larger drawdown than toward… http:// dlvr.it/RBbyjj",,,,1164106410650566656,https://twitter.com/ResearchPool/status/1164106410650566656
